PlayDate,AP,N01,N02,N03,N04,N05,N06,N07,N08,N09,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20
2023-03-26,P,4,5,7,8,10,13,17,19,25,34,36,45,46,48,56,57,58,61,65,69
2023-03-25,P,2,3,6,11,14,36,37,38,46,47,49,51,52,56,57,61,64,65,66,69
2023-03-24,P,7,10,11,13,14,18,22,25,29,30,32,35,41,44,48,53,55,61,66,68
2023-03-23,P,4,7,10,13,16,27,29,32,34,35,39,42,44,45,47,52,57,58,67,69
2023-03-22,P,2,8,10,17,21,25,30,37,42,43,45,48,49,52,54,55,56,58,63,68
2023-03-21,P,1,9,16,19,20,23,26,28,31,34,43,49,51,52,55,60,63,64,66,69
2023-03-20,P,5,7,9,11,12,19,23,24,35,37,38,40,45,49,52,56,59,61,65,67
2023-03-18,P,3,5,6,9,18,21,22,26,31,32,35,42,44,48,51,52,56,62,64,66
2023-03-17,P,1,6,7,9,13,15,16,25,31,34,39,41,46,48,50,51,52,53,61,69
2023-03-16,P,2,4,6,7,18,19,22,27,29,30,33,34,38,39,42,47,51,54,65,69
2023-03-15,P,1,4,12,14,17,21,27,30,31,37,43,46,52,53,56,61,64,65,66,70
2023-03-14,P,2,4,6,17,18,23,38,39,41,42,50,53,54,56,58,61,63,64,67,69
2023-03-13,P,3,13,20,22,27,31,34,36,37,38,39,41,45,47,48,49,56,57,63,69
2023-03-12,P,6,8,12,15,16,17,18,19,20,23,36,37,42,48,52,56,57,59,60,69
2023-03-11,P,6,8,11,16,21,28,32,33,34,39,42,47,56,58,59,63,64,66,68,70
2023-03-10,P,7,8,10,12,13,16,22,31,32,34,42,43,46,50,51,54,62,63,68,70
2023-03-09,P,3,4,7,9,14,15,17,18,26,31,35,39,43,48,54,55,57,61,64,68
2023-03-08,P,4,5,7,16,18,23,24,30,34,36,39,41,45,46,47,52,54,58,67,70
2023-03-07,P,4,5,8,12,13,17,18,20,27,37,45,51,52,54,55,56,62,64,68,69
2023-03-06,P,1,4,9,10,12,14,22,25,36,40,41,43,44,47,50,53,56,64,66,68
2023-03-05,P,3,7,13,21,23,25,26,27,28,30,35,40,41,43,44,50,55,56,58,60
2023-03-04,P,2,5,11,13,15,21,23,30,32,33,34,35,36,40,47,48,52,55,62,63
2023-03-03,P,2,14,16,24,26,29,30,32,38,41,42,46,49,50,52,55,59,62,63,64
2023-03-02,P,2,6,11,14,18,19,21,22,24,29,32,37,41,51,57,58,64,66,67,68
2023-03-01,P,2,5,7,9,14,22,25,29,31,39,48,50,51,57,58,59,60,62,67,68
2023-02-28,P,1,6,7,19,22,25,26,27,31,39,40,49,52,53,54,62,63,66,69,70
2023-02-27,P,4,6,8,20,22,26,27,28,30,32,37,41,46,47,48,53,56,57,67,68
2023-02-26,P,1,2,3,4,5,9,11,13,16,17,21,27,34,42,43,44,54,58,63,69
2023-02-25,P,4,8,11,20,23,28,31,34,35,39,40,44,51,56,57,58,59,62,66,69
2023-02-24,P,1,5,7,8,15,22,26,27,28,29,32,41,45,48,51,52,54,58,62,70
2023-02-23,P,7,11,12,14,15,19,29,31,34,36,39,40,43,45,46,52,54,56,62,65
2023-02-22,P,7,14,16,17,21,24,27,28,32,36,37,43,48,51,52,54,58,59,62,65
2023-02-21,P,2,3,5,8,20,21,24,25,26,27,29,40,42,44,45,47,48,50,54,60
2023-02-20,P,7,10,11,13,14,15,21,24,26,34,36,39,41,43,45,50,53,54,59,63
2023-02-19,P,1,8,14,16,17,20,21,31,32,37,38,41,42,43,46,48,49,51,52,66
2023-02-18,P,3,11,15,17,18,22,26,31,33,40,47,50,51,56,57,58,64,65,66,69
2023-02-17,P,2,3,11,16,30,31,32,37,38,40,43,44,47,49,54,61,62,64,65,70
2023-02-16,P,2,3,4,6,7,9,11,12,15,34,39,44,47,52,56,58,60,65,68,69
2023-02-15,P,3,6,8,10,12,13,17,18,24,28,30,31,33,34,39,41,50,59,60,67
2023-02-14,P,3,5,7,9,11,26,29,39,41,42,47,49,50,53,60,61,64,67,69,70
2023-02-13,P,1,3,4,5,15,16,17,23,29,35,36,41,46,48,51,54,55,66,68,70
2023-02-12,P,8,12,15,17,18,21,24,27,32,34,41,45,52,53,56,57,61,62,63,64
2023-02-11,P,1,4,17,20,23,25,32,38,41,43,44,45,47,49,50,55,56,62,65,66
2023-02-10,P,9,10,12,17,20,22,24,25,29,32,33,42,43,45,48,51,53,56,61,66
2023-02-09,P,1,4,11,14,15,22,27,31,34,37,39,40,44,47,49,50,63,64,65,66
2023-02-08,P,5,10,13,14,16,18,20,22,24,31,33,34,35,39,41,47,58,60,64,68
2023-02-07,P,1,4,5,6,10,23,27,30,33,35,39,41,44,54,57,60,61,66,67,69
2023-02-06,P,1,5,8,15,16,17,18,21,25,35,38,39,42,45,49,50,52,60,63,70
2023-02-05,P,2,3,4,5,13,16,21,28,29,34,38,40,45,52,53,55,57,58,62,65
2023-02-04,P,2,9,10,19,20,26,28,29,34,37,40,41,42,50,55,61,62,63,66,70
2023-02-03,P,4,6,9,10,11,14,16,26,29,34,36,38,42,43,45,46,54,60,62,68
2023-02-02,P,2,3,11,19,24,26,27,31,32,35,38,47,48,50,58,61,63,66,68,70
2023-02-01,P,3,6,9,12,15,17,18,22,24,27,28,32,34,38,44,47,48,56,60,67
2023-01-31,P,1,4,5,6,11,15,16,20,32,35,39,42,43,44,48,49,58,60,62,64
2023-01-30,P,1,3,8,9,12,15,20,27,29,32,34,39,40,41,48,50,58,59,66,67
2023-01-29,P,2,4,6,8,9,22,23,25,28,32,37,39,45,48,50,51,60,63,64,68
2023-01-28,P,4,10,11,13,14,18,22,23,25,26,30,35,41,47,49,50,51,54,55,69
2023-01-27,P,7,10,12,15,17,23,24,26,27,29,36,37,41,45,46,52,54,55,64,69
2023-01-26,P,5,12,16,17,18,20,22,24,25,26,30,39,40,48,54,55,58,62,63,64
2023-01-25,P,1,5,17,18,21,22,31,32,33,36,38,49,50,53,54,58,62,64,65,66
2023-01-24,P,7,12,15,16,17,18,21,26,28,30,35,36,37,41,44,50,56,62,63,68
2023-01-23,P,3,6,10,16,21,22,24,25,30,38,42,43,46,47,48,52,53,54,66,69
2023-01-22,P,1,5,20,22,24,25,29,31,32,33,36,37,39,40,45,47,48,52,54,60
2023-01-21,P,3,6,7,9,10,18,20,24,29,36,37,38,45,50,51,59,62,65,66,67
2023-01-20,P,2,6,8,10,14,16,25,27,28,29,37,39,43,47,50,55,57,58,62,68
2023-01-19,P,1,5,8,16,18,21,26,27,34,35,37,38,39,46,52,54,55,61,69,70
2023-01-18,P,1,3,5,6,15,17,23,25,30,31,33,39,40,47,52,58,65,66,67,69
2023-01-17,P,12,14,15,25,35,37,42,46,47,49,51,57,58,60,62,63,64,67,68,69
2023-01-16,P,1,4,20,22,25,29,37,39,40,41,42,47,50,52,56,57,61,65,68,70
2023-01-15,P,2,8,9,10,25,26,27,29,36,38,43,48,49,55,61,62,63,65,67,69
2023-01-14,P,1,2,3,9,10,12,17,25,37,38,39,41,42,49,53,56,57,59,62,68
2023-01-13,P,6,8,11,12,16,23,27,30,31,37,41,45,48,51,53,57,60,62,66,67
2023-01-12,P,3,6,10,12,17,23,26,27,28,31,32,40,43,45,47,53,57,68,69,70
2023-01-11,P,1,2,3,10,17,22,27,28,29,33,36,37,43,46,57,58,62,66,69,70
2023-01-10,P,6,8,13,19,22,24,29,30,35,36,37,44,48,50,55,64,66,67,68,69
2023-01-09,P,5,7,8,10,12,14,18,23,35,40,43,46,47,48,51,59,60,61,65,66
2023-01-08,P,4,6,8,9,13,20,21,22,24,25,26,30,34,39,40,50,52,53,55,63
2023-01-07,P,1,3,6,10,13,15,20,23,32,34,36,40,41,47,50,58,59,61,64,65
2023-01-06,P,6,12,16,19,22,31,32,34,38,41,51,54,55,56,57,58,60,61,65,66
2023-01-05,P,6,10,13,14,22,24,25,29,32,35,40,43,50,51,61,62,63,65,69,70
2023-01-04,P,8,9,21,26,27,29,30,31,35,36,39,48,49,51,53,54,58,59,63,64
2023-01-03,P,1,10,15,17,26,34,37,40,42,44,47,49,51,52,60,62,63,67,68,69
2023-01-02,P,2,3,4,7,15,24,25,30,38,39,44,47,48,53,54,56,58,60,66,68
2023-01-01,P,4,5,10,11,13,18,19,27,31,32,37,41,43,44,47,48,55,58,63,70
