PlayDate,AP,N01,N02,N03,N04,N05,N06,N07,N08,N09,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20
2023-05-16,A,3,10,12,22,23,26,31,35,38,39,43,45,46,48,51,52,59,63,66,70
2023-05-16,P,3,4,6,10,13,17,19,20,25,30,38,40,49,51,52,56,57,59,64,69
2023-05-17,P,5,10,13,15,16,23,25,27,28,29,30,32,34,40,48,52,62,66,68,69
2023-05-17,A,1,8,9,12,14,17,19,20,26,27,29,30,35,39,41,46,58,59,66,69
2023-05-18,P,2,3,4,7,18,19,24,28,31,32,34,36,40,45,49,51,54,57,64,68
2023-05-18,A,5,9,15,16,17,19,21,22,24,25,36,37,39,44,45,50,51,52,60,62
2023-05-19,A,2,3,7,12,13,15,26,31,33,35,36,38,40,44,53,58,59,62,63,70
2023-05-19,P,4,5,19,20,21,23,24,25,27,30,32,35,41,45,47,60,63,64,65,68
2023-05-20,A,1,2,3,18,20,24,25,27,29,32,37,38,42,43,45,47,48,49,57,60
2023-05-20,P,5,9,13,16,17,21,23,24,25,28,29,37,44,47,48,49,54,63,65,67
2023-05-21,A,6,17,21,22,24,26,28,30,39,46,49,54,55,57,58,62,63,64,65,66
2023-05-21,P,4,8,12,18,21,22,23,24,28,29,31,32,42,43,44,45,50,57,65,67
2023-05-22,A,6,13,17,19,21,22,24,26,29,30,40,41,45,47,48,50,55,59,65,66
2023-05-22,P,2,8,9,10,11,13,16,24,27,32,42,46,54,55,60,62,63,64,66,67
2023-05-23,P,3,8,10,12,13,15,20,22,24,29,30,34,38,40,41,44,46,49,63,69
2023-05-23,A,4,7,9,12,13,17,20,26,33,37,41,43,44,46,48,52,53,58,61,65
2023-05-24,P,2,3,13,19,20,22,32,34,36,40,42,47,49,50,56,59,61,65,69,70
2023-05-24,A,3,7,12,17,18,20,22,25,34,36,40,41,42,53,55,57,61,63,64,65
2023-05-25,A,10,11,12,20,22,23,32,35,37,38,39,40,41,43,44,45,46,52,56,61
2023-05-25,P,7,8,11,19,20,32,33,35,38,39,41,42,45,46,56,59,60,64,66,67
2023-05-26,A,6,8,9,11,16,19,26,28,38,43,45,47,49,51,60,62,63,65,66,70
2023-05-26,P,2,3,6,8,10,13,22,24,25,26,30,34,37,44,46,47,48,50,51,63
2023-05-27,A,1,2,9,10,15,20,23,24,28,29,35,36,43,44,45,50,52,61,62,63
2023-05-27,P,1,4,7,8,14,15,17,22,24,28,30,42,49,57,58,61,63,65,67,68
2023-05-28,P,3,10,18,23,30,32,34,37,41,44,47,48,53,54,55,58,60,66,69,70
2023-05-28,A,2,4,10,12,16,17,19,20,23,24,27,31,34,40,41,47,54,63,66,69
2023-05-29,A,1,2,6,8,9,13,20,22,25,27,34,46,47,51,53,57,65,66,68,69
2023-05-29,P,1,4,7,8,14,18,20,28,30,34,35,40,42,44,50,59,60,67,69,70
2023-05-30,A,1,2,3,4,8,9,19,20,21,24,26,31,33,37,38,42,51,60,67,69
2023-05-30,P,1,3,4,6,7,8,12,19,21,28,30,31,33,44,49,51,54,58,68,70
2023-05-31,A,4,6,9,12,14,15,18,21,23,25,26,36,39,40,41,42,51,56,57,59
2023-05-31,P,2,3,7,14,19,20,25,26,35,37,38,39,40,47,54,56,57,62,64,66
2023-06-01,A,4,11,15,20,21,25,27,31,32,33,37,46,54,56,57,62,64,66,67,70
2023-06-01,P,5,12,18,27,32,33,34,35,36,40,44,46,50,51,57,58,61,63,65,67
2023-06-02,A,5,6,7,10,14,15,23,26,28,34,36,47,51,54,55,57,61,62,66,68
2023-06-02,P,4,10,11,17,18,19,21,23,25,28,33,40,41,42,47,50,61,62,63,68
2023-06-03,P,3,7,10,19,23,26,30,31,35,36,37,38,40,52,55,62,63,67,68,70
2023-06-03,A,2,9,10,17,21,23,32,37,38,41,42,47,52,60,61,62,64,65,68,69
2023-06-04,A,2,12,13,19,20,24,29,31,34,35,39,43,51,52,53,55,59,60,65,67
2023-06-04,P,2,7,9,13,18,28,29,35,37,38,39,41,42,45,46,48,54,55,56,58
2023-06-05,A,1,2,3,4,5,9,13,26,30,33,34,35,37,40,51,54,55,60,63,64
2023-06-05,P,2,5,6,7,8,10,12,13,24,31,33,36,43,46,50,52,53,60,68,70
2023-06-06,P,15,16,20,21,29,30,31,35,40,45,50,52,53,56,58,62,64,67,69,70
2023-06-06,A,2,6,8,9,10,13,17,18,20,24,33,36,37,39,44,45,51,62,68,70
2023-06-07,P,2,6,10,11,15,16,17,19,25,28,30,32,36,37,38,42,45,51,53,66
2023-06-07,A,3,5,9,10,16,20,21,30,34,39,50,53,56,58,59,60,63,65,67,70
2023-06-08,A,2,5,7,8,9,11,17,18,24,29,30,31,40,41,45,50,55,56,57,61
2023-06-08,P,6,11,12,13,21,22,23,36,43,44,45,48,50,51,53,59,61,62,63,67
2023-06-09,A,2,4,7,8,9,19,21,22,24,28,37,38,39,40,43,48,50,53,55,68
2023-06-09,P,1,3,5,6,11,12,14,22,36,44,46,51,52,58,59,60,64,66,69,70
2023-06-10,A,1,2,6,9,12,13,15,16,22,30,36,38,45,49,50,58,60,61,63,70
2023-06-10,P,2,4,6,7,8,24,26,28,34,35,39,47,48,55,60,61,63,65,68,69
2023-06-11,A,8,10,11,16,17,24,28,30,31,36,37,41,42,45,48,49,54,64,68,70
2023-06-11,P,4,8,11,15,21,32,33,34,36,39,43,44,48,49,55,57,58,60,62,67
2023-06-12,P,1,3,4,6,10,11,12,17,20,23,29,39,46,47,54,56,59,60,64,66
2023-06-12,A,8,9,11,14,17,24,25,27,28,35,37,39,42,43,46,48,54,60,61,63
2023-06-13,P,1,5,8,10,15,16,19,20,28,29,37,39,41,45,49,50,56,61,66,70
2023-06-13,A,6,9,13,18,19,23,27,28,29,31,32,36,45,47,48,55,57,58,59,66
2023-06-14,A,1,4,9,10,11,15,16,17,20,25,26,37,41,42,48,56,59,60,61,62
2023-06-14,P,1,6,10,13,16,17,24,27,33,35,38,49,50,56,58,61,63,65,66,70
2023-06-15,A,1,3,10,12,22,25,28,32,34,41,42,44,45,46,47,53,54,55,62,68
2023-06-15,P,1,2,4,8,9,15,16,22,23,25,29,35,36,37,43,44,48,56,65,70
2023-06-16,A,1,3,5,10,13,17,18,24,28,30,31,34,44,50,58,59,64,66,67,68
2023-06-16,P,5,6,8,16,18,19,24,25,27,34,36,44,47,51,55,58,59,61,65,69
2023-06-17,A,8,11,15,22,30,31,32,34,39,40,46,51,52,53,56,58,59,62,67,70
2023-06-17,P,1,2,3,5,16,17,20,22,24,25,30,31,46,49,53,58,59,61,63,67
2023-06-18,P,1,6,8,10,12,14,21,30,36,38,45,49,52,53,55,58,59,62,63,68
2023-06-18,A,4,17,18,20,25,27,28,30,40,43,44,45,48,50,51,55,56,57,59,65
2023-06-19,P,3,6,14,17,18,27,28,37,39,41,42,43,46,49,59,60,62,64,65,69
2023-06-19,A,1,2,3,4,8,9,13,28,31,34,41,44,46,50,53,58,62,65,66,69
2023-06-20,P,1,3,6,7,10,12,23,26,29,30,32,37,48,54,56,59,61,64,65,70
2023-06-20,A,9,17,19,21,23,25,26,28,30,31,34,38,43,45,48,51,63,65,68,69
2023-06-21,P,1,4,18,19,29,30,32,34,44,47,51,52,53,55,58,59,60,62,63,68
2023-06-21,A,1,4,5,9,15,25,33,36,37,38,39,43,48,49,51,52,57,67,69,70
2023-06-22,A,7,11,12,15,17,24,30,35,36,38,41,49,51,58,60,62,64,66,67,68
2023-06-22,P,4,6,9,11,13,20,27,30,35,36,40,41,46,47,48,49,60,64,65,67
2023-06-23,A,6,8,10,12,14,19,27,29,34,35,37,39,49,50,57,59,60,61,64,65
2023-06-23,P,3,4,8,17,21,24,27,32,33,35,36,39,41,42,46,53,56,61,62,64
2023-06-24,A,4,9,15,17,21,23,26,35,39,41,42,44,46,47,48,51,52,53,57,63
2023-06-24,P,1,3,4,5,7,14,20,29,31,32,36,37,39,45,46,47,49,54,55,61
2023-06-25,A,3,9,10,11,16,17,18,27,29,32,35,37,40,43,46,49,52,54,60,69
2023-06-25,P,1,2,3,5,18,26,28,31,37,44,45,49,52,53,55,56,58,64,65,69
2023-06-26,A,5,14,26,28,29,31,34,39,41,42,46,47,48,49,54,60,61,62,68,70
2023-06-26,P,1,6,9,14,22,24,27,33,34,37,38,40,43,44,47,48,52,60,67,70
2023-06-27,A,5,12,15,22,24,26,29,33,34,36,41,42,43,45,49,59,61,64,65,69
2023-06-27,P,2,4,9,10,14,16,19,20,31,40,45,48,49,56,60,61,62,65,68,69
2023-06-28,A,1,5,14,15,16,17,18,32,34,36,40,43,44,49,50,53,56,65,66,68
2023-06-28,P,2,3,4,5,9,22,25,26,27,32,33,37,44,48,53,56,59,60,67,70
2023-06-29,P,2,3,5,8,9,11,14,22,23,28,29,32,35,47,55,58,60,62,64,68
2023-06-29,A,1,3,4,6,7,10,12,23,24,34,35,37,39,43,48,49,54,55,59,63
2023-06-30,A,2,6,14,23,26,29,32,35,36,37,41,43,48,50,51,52,61,62,66,69
2023-06-30,P,4,6,10,11,13,15,17,22,24,27,28,29,35,36,47,49,55,58,64,70
2023-07-01,A,1,3,7,11,12,14,17,18,19,21,34,37,44,45,48,53,58,59,64,70
2023-07-01,P,1,2,4,8,9,10,19,20,21,33,34,43,49,52,54,55,56,60,62,67
2023-07-02,A,2,4,8,9,14,17,18,24,26,33,35,43,48,50,51,53,58,59,65,66
2023-07-02,P,5,14,20,25,28,29,30,33,36,39,40,44,46,48,50,54,56,61,62,64
2023-07-03,A,6,7,9,12,15,16,21,25,27,32,37,39,41,42,51,55,56,62,66,67
2023-07-03,P,4,8,10,11,14,21,25,28,30,36,37,38,43,53,54,58,59,62,64,66
2023-07-04,P,2,5,9,12,13,15,17,18,20,22,25,28,29,31,36,42,49,56,57,69
2023-07-04,A,3,7,17,25,28,30,33,39,42,45,46,47,52,53,55,56,57,67,68,70
2023-07-05,P,2,7,10,16,17,20,23,29,34,40,44,47,54,55,56,59,62,65,68,70
2023-07-05,A,2,5,9,10,13,22,25,31,34,35,37,40,41,42,43,46,50,51,62,63
2023-07-06,A,10,11,12,16,17,20,21,24,29,32,35,47,48,50,53,54,55,66,68,70
2023-07-06,P,1,3,10,13,20,22,23,28,30,36,37,40,42,43,48,56,61,63,65,69
2023-07-07,A,2,3,9,11,17,19,20,22,23,30,35,39,41,47,48,55,59,60,69,70
2023-07-07,P,4,5,7,8,10,15,17,18,20,26,27,28,42,48,52,58,60,61,68,70
2023-07-08,A,5,6,8,10,15,18,19,26,27,30,35,37,38,40,43,50,54,57,60,70
2023-07-08,P,2,6,7,9,11,15,21,23,28,30,31,32,42,51,57,58,61,63,64,65
2023-07-09,P,1,9,10,13,18,19,30,34,38,42,43,44,47,49,51,57,59,61,65,67
2023-07-09,A,3,9,10,13,17,18,22,24,29,30,31,34,38,43,46,51,60,61,62,63
2023-07-10,A,2,10,12,20,26,27,29,31,34,36,42,47,48,55,57,58,60,61,64,69
2023-07-10,P,7,8,11,12,13,19,23,24,25,29,34,36,45,49,51,56,57,64,66,68
2023-07-11,A,4,9,14,21,24,25,33,36,40,41,43,44,47,49,55,57,63,65,67,70
2023-07-11,P,6,7,9,11,12,16,18,21,28,29,32,38,39,44,46,52,53,55,56,60
2023-07-12,A,3,4,7,9,11,14,16,18,24,28,31,32,42,44,46,50,62,65,67,68
2023-07-12,P,8,9,15,16,21,23,27,29,34,36,39,49,53,55,57,59,60,64,67,68
2023-07-13,A,1,2,10,11,13,14,15,21,32,36,40,41,42,44,51,52,53,54,56,68
2023-07-13,P,2,14,15,16,23,29,30,32,34,36,37,39,43,44,45,47,51,62,63,70
2023-07-14,A,3,12,16,20,22,25,26,31,34,39,42,43,45,47,49,51,54,63,67,70
2023-07-14,P,4,6,8,9,19,27,31,35,40,44,45,46,48,53,54,62,63,66,67,70
2023-07-15,P,6,7,8,13,14,17,18,22,25,29,32,35,36,40,41,50,52,53,60,67
2023-07-15,A,3,5,6,11,23,26,27,30,33,35,37,42,43,44,52,55,59,60,61,65
2023-07-16,A,2,3,6,12,15,16,17,22,24,26,27,31,37,48,51,52,56,57,66,68
2023-07-16,P,4,7,11,12,17,24,26,30,31,33,39,40,41,43,46,52,57,59,60,64
2023-07-17,A,6,13,17,20,21,25,27,30,32,33,34,35,45,47,48,56,59,61,65,70
2023-07-17,P,2,4,6,7,11,17,23,24,26,31,32,35,36,37,42,44,47,61,65,67
2023-07-18,P,3,5,9,11,23,25,38,39,44,45,46,47,52,55,56,57,63,64,66,70
2023-07-18,A,3,4,7,8,15,19,23,27,29,30,33,41,46,47,49,50,60,61,63,64
2023-07-19,P,3,6,7,10,19,21,22,25,27,31,35,40,45,46,48,51,61,63,64,65
2023-07-19,A,1,4,6,7,11,14,16,20,25,27,28,29,30,36,45,49,51,62,63,68
2023-07-20,A,1,5,6,7,8,14,26,30,32,36,37,38,39,40,42,44,49,50,55,69
2023-07-20,P,2,3,4,6,12,14,17,21,22,28,31,36,37,46,47,49,55,56,64,66
2023-07-21,A,2,7,8,10,12,18,19,21,24,28,31,33,36,43,50,51,62,67,68,70
2023-07-21,P,1,4,7,9,14,19,30,31,35,37,40,46,47,51,54,57,58,63,67,68
2023-07-22,A,1,2,4,6,8,11,15,18,20,21,23,25,29,31,42,53,60,61,64,67
2023-07-22,P,2,8,10,11,19,20,27,29,30,31,33,40,41,42,46,52,59,60,61,70
2023-07-23,A,1,5,9,10,11,13,20,21,22,28,32,43,47,48,52,54,55,56,63,69
2023-07-23,P,2,5,7,8,12,14,19,21,27,31,32,34,36,39,45,48,60,61,64,68
2023-07-24,P,1,5,10,13,17,18,21,22,26,30,38,39,42,53,56,58,59,60,62,68
2023-07-24,A,3,4,6,11,13,17,34,37,39,40,44,48,53,54,57,59,63,68,69,70
2023-07-25,P,5,9,11,22,23,24,25,26,29,30,31,32,47,48,50,52,55,58,69,70
2023-07-25,A,4,10,13,17,20,25,29,31,33,34,35,37,44,48,49,51,54,61,63,65
2023-07-26,A,1,5,13,15,16,28,29,31,32,34,36,40,47,48,51,56,59,64,67,70
2023-07-26,P,3,9,10,14,16,19,22,23,26,30,35,36,38,39,44,45,57,60,68,70
2023-07-27,A,2,3,8,9,15,16,19,23,26,27,29,34,36,41,43,48,52,61,63,65
2023-07-27,P,3,8,10,14,17,18,21,23,24,25,26,31,34,35,36,46,51,53,65,66
2023-07-28,A,13,16,17,19,20,22,25,27,33,37,38,39,42,43,56,58,59,64,66,70
2023-07-28,P,1,3,5,7,10,19,21,35,40,46,48,49,53,54,55,59,62,66,67,70
2023-07-29,P,4,6,8,11,17,18,19,20,22,25,30,32,36,45,50,52,53,58,66,68
2023-07-29,A,4,5,8,9,20,21,24,29,34,35,38,43,46,47,48,51,55,58,59,66
2023-07-30,A,2,6,9,11,18,25,27,28,31,34,35,36,38,50,55,56,57,61,62,65
2023-07-30,P,2,4,7,8,11,12,16,17,23,25,35,36,39,43,50,51,57,60,61,66
2023-07-31,A,3,8,14,22,23,31,33,36,40,46,48,50,51,57,58,59,62,63,66,70
2023-07-31,P,1,7,12,14,17,18,20,29,30,33,38,41,46,48,54,57,58,66,68,70
2023-08-01,A,2,4,12,13,16,18,21,25,27,31,36,41,45,47,51,53,58,62,64,67
2023-08-01,P,1,3,11,13,20,21,22,25,30,32,34,36,46,48,52,53,55,62,63,67
2023-08-02,A,4,8,14,17,21,27,31,32,36,40,48,51,52,53,60,61,62,63,64,67
2023-08-02,P,2,3,7,10,14,16,18,22,23,24,25,27,41,42,43,46,50,57,65,70
2023-08-03,A,2,3,5,7,18,19,31,37,39,50,51,52,57,60,61,62,63,64,66,70
2023-08-03,P,3,4,5,6,7,11,19,20,24,25,26,27,28,34,35,45,47,49,55,69
2023-08-04,A,2,4,6,9,17,19,25,29,34,37,38,39,42,43,44,48,49,61,62,67
2023-08-04,P,4,5,8,9,11,15,17,19,23,26,30,35,36,42,45,53,59,61,64,66
2023-08-05,P,1,2,9,10,13,17,23,25,29,33,36,40,43,49,50,53,55,63,64,70
2023-08-05,A,1,2,5,9,16,20,23,26,27,28,29,31,34,35,42,45,46,49,50,63
2023-08-06,A,1,4,5,10,12,23,26,27,31,32,36,44,46,48,57,59,60,62,66,68
2023-08-06,P,1,4,5,8,18,19,21,26,27,29,35,41,43,44,45,56,61,62,64,68
2023-08-07,A,1,10,12,18,19,26,28,30,32,34,37,41,46,52,53,54,56,60,63,70
2023-08-07,P,2,6,7,13,15,22,28,32,35,38,39,41,42,44,48,53,58,62,65,66
2023-08-08,P,1,2,3,6,12,25,28,30,39,46,48,51,53,54,55,56,57,59,61,67
2023-08-08,A,3,4,8,11,17,21,25,29,30,42,45,51,55,57,59,64,66,67,68,69
2023-08-09,P,1,4,11,12,22,23,25,26,30,38,44,46,48,51,52,54,55,57,61,64
2023-08-09,A,1,5,6,10,12,13,21,23,24,27,34,41,42,45,48,55,59,60,63,67
2023-08-10,A,2,4,8,9,17,27,28,29,30,32,40,41,43,46,51,53,54,55,60,64
2023-08-10,P,2,3,8,10,11,13,14,18,19,22,26,28,31,49,55,56,60,61,62,66
2023-08-11,A,5,8,17,19,20,24,30,34,36,40,41,42,43,48,51,55,56,60,64,67
2023-08-11,P,3,9,11,15,16,18,21,27,28,32,33,37,40,42,49,53,57,58,66,69
2023-08-12,A,1,2,3,6,7,16,20,24,31,37,39,46,53,55,61,64,66,68,69,70
2023-08-12,P,2,4,10,11,16,17,19,27,32,34,36,41,42,44,48,54,56,57,62,63
2023-08-13,A,4,6,8,11,14,15,18,20,21,27,30,37,38,39,45,50,54,56,64,65
2023-08-13,P,1,3,7,10,11,13,15,19,20,25,29,32,41,43,44,49,52,56,68,69
2023-08-14,P,8,11,13,18,22,24,28,30,38,40,42,44,45,51,53,58,59,63,64,70
2023-08-14,A,1,7,9,11,12,15,16,23,35,38,42,47,48,52,53,57,58,59,63,65
2023-08-15,P,8,10,11,15,18,20,22,26,31,35,37,38,48,51,54,56,59,63,66,67
2023-08-15,A,8,9,13,20,34,43,46,47,49,51,53,55,56,58,61,63,65,66,68,69
2023-08-16,A,7,8,12,14,15,16,19,20,25,26,27,34,41,48,51,55,57,60,64,69
2023-08-16,P,4,8,10,11,13,19,24,25,30,31,33,36,39,41,43,44,53,54,57,64
2023-08-17,A,7,8,10,17,18,25,26,29,31,38,42,43,45,46,48,54,56,60,63,66
2023-08-17,P,8,11,14,21,25,26,28,30,43,44,48,50,54,55,57,58,59,61,67,68
2023-08-18,A,1,2,4,9,10,11,17,22,23,29,32,34,36,38,39,45,48,49,53,69
2023-08-18,P,3,10,11,21,26,27,28,32,33,35,36,40,44,45,46,47,61,62,67,69
2023-08-19,P,4,7,9,12,13,18,19,21,23,24,29,31,34,45,46,51,53,56,64,67
2023-08-19,A,3,4,7,10,11,19,29,36,38,39,44,46,50,56,57,59,60,62,65,67
2023-08-20,A,1,2,7,9,10,12,18,22,23,25,32,34,36,46,54,56,61,63,67,69
2023-08-20,P,1,2,5,7,9,12,13,17,21,26,32,34,35,40,41,42,44,45,60,62
2023-08-21,A,1,4,8,16,19,23,26,27,33,36,37,38,39,43,47,51,56,66,67,70
2023-08-21,P,5,8,16,17,20,22,26,30,33,39,44,51,52,53,56,57,59,61,66,67
2023-08-22,A,1,10,12,18,20,22,23,31,32,33,34,35,39,41,43,48,60,64,66,69
2023-08-22,P,6,7,8,9,14,15,18,24,26,29,31,37,41,43,50,52,64,66,68,69
2023-08-23,A,2,7,12,15,17,18,24,25,26,36,45,46,48,53,54,57,58,59,63,68
2023-08-23,P,1,5,12,16,20,21,24,39,40,42,44,48,54,56,57,59,61,62,64,65
2023-08-24,A,2,4,5,18,19,21,23,25,28,39,48,49,52,55,56,58,59,64,66,68
2023-08-24,P,3,6,9,11,12,15,16,18,27,28,34,40,41,44,46,49,64,66,67,68
2023-08-25,P,1,2,6,8,11,14,23,29,30,31,32,34,42,43,50,51,53,55,57,60
2023-08-25,A,6,7,9,15,19,28,32,36,38,41,45,46,48,49,56,61,62,64,67,70
2023-08-26,P,3,4,11,12,13,16,17,25,31,32,43,47,52,53,56,58,61,67,68,70
2023-08-26,A,6,7,8,9,10,19,23,26,27,28,29,31,40,44,45,50,53,54,55,64
2023-08-27,A,2,6,12,15,22,25,32,34,37,41,42,43,45,50,52,53,55,58,63,64
2023-08-27,P,3,4,8,9,10,17,18,19,36,43,49,50,51,55,57,60,64,65,68,70
2023-08-28,A,1,7,8,10,20,22,26,28,35,40,42,43,50,54,57,61,65,66,69,70
2023-08-28,P,1,5,10,14,27,29,30,34,35,40,46,48,50,52,53,57,58,60,63,67
2023-08-29,A,3,4,7,10,21,23,24,27,31,36,44,49,53,54,56,59,60,65,66,70
2023-08-29,P,2,3,7,8,9,11,12,16,23,24,30,31,38,40,45,63,65,66,68,70
2023-08-30,P,2,6,7,8,10,15,16,33,34,35,38,39,43,45,52,55,56,60,61,65
2023-08-30,A,8,9,12,13,16,24,27,35,37,38,43,44,47,49,56,59,60,61,63,70
2023-08-31,A,4,6,8,10,15,18,21,22,36,37,38,39,43,48,51,53,54,58,60,65
2023-08-31,P,1,11,12,13,16,18,20,22,28,29,34,43,46,47,49,53,63,64,68,70
2023-09-01,A,3,12,15,16,22,26,28,34,46,47,48,49,52,54,55,61,62,64,65,70
2023-09-01,P,1,5,13,14,24,25,26,27,30,36,40,42,47,48,49,51,54,63,64,66
2023-09-02,A,1,8,11,18,20,21,22,23,32,33,38,42,49,50,55,57,59,61,63,69
2023-09-02,P,1,3,4,5,6,9,12,18,24,26,32,39,42,47,49,57,59,62,63,64
2023-09-03,A,4,5,13,18,20,27,28,32,33,35,36,37,38,42,46,48,49,61,63,64
2023-09-03,P,3,4,6,7,8,10,20,22,26,27,28,36,43,44,46,48,60,63,68,70
2023-09-04,P,1,2,8,9,10,11,21,22,26,29,31,35,38,43,44,46,51,58,64,70
2023-09-04,A,2,9,14,24,25,27,30,31,34,36,39,43,46,51,53,54,56,59,66,68
2023-09-05,P,2,5,6,7,10,14,15,28,29,31,33,37,42,43,51,53,58,64,67,69
2023-09-05,A,4,9,12,13,14,19,22,24,26,29,31,32,37,40,42,44,48,55,59,66
2023-09-06,A,3,4,6,7,8,9,11,12,14,20,23,24,37,52,53,59,62,66,67,68
2023-09-06,P,2,7,12,16,17,20,21,24,30,33,37,39,49,51,53,58,62,66,67,68
2023-09-07,A,1,5,14,19,24,26,31,34,36,39,40,41,43,52,53,57,58,60,63,64
2023-09-07,P,1,2,3,4,5,9,12,19,20,22,25,30,34,38,39,51,57,58,59,65
2023-09-08,A,2,5,7,21,22,23,24,29,30,32,33,35,39,50,59,61,62,63,64,70
2023-09-08,P,1,7,8,12,18,20,24,25,28,31,33,38,42,43,48,49,54,55,61,69
2023-09-09,P,9,13,14,15,19,22,23,24,31,35,43,48,51,55,59,62,63,64,65,68
2023-09-09,A,1,2,6,7,10,12,17,22,23,24,33,34,36,39,49,52,58,67,68,70
2023-09-10,A,1,2,5,8,14,16,21,32,35,39,42,43,47,51,52,56,60,63,68,69
2023-09-10,P,4,6,9,17,22,28,36,37,39,42,44,46,49,52,53,54,64,65,67,70
2023-09-11,A,13,14,20,21,26,28,32,34,36,37,39,44,48,49,50,51,52,53,57,63
2023-09-11,P,2,4,8,9,11,12,14,17,21,23,29,33,39,41,42,47,57,58,68,69
2023-09-12,A,6,12,18,19,22,25,27,28,29,31,35,38,44,51,55,57,60,61,65,69
2023-09-12,P,2,7,10,11,13,14,16,18,25,27,34,35,45,49,59,61,63,64,65,69
2023-09-13,A,1,10,11,13,14,19,20,31,34,37,38,39,41,45,46,49,58,60,61,62
2023-09-13,P,2,6,7,9,11,13,15,17,18,35,40,51,55,58,59,61,62,63,65,67
2023-09-14,A,6,7,9,10,12,14,22,25,26,30,31,34,39,42,43,48,58,60,66,70
2023-09-14,P,3,4,6,8,12,15,18,19,27,32,36,41,42,43,45,55,57,64,66,69
2023-09-15,A,2,7,9,10,13,21,22,25,28,30,32,36,44,48,49,51,55,58,66,68
2023-09-15,P,1,2,6,18,20,21,22,23,26,31,34,36,37,42,52,61,62,65,68,70
2023-09-16,P,1,3,7,8,9,14,20,28,31,32,34,36,37,41,44,47,58,59,68,69
2023-09-16,A,4,9,10,18,19,26,44,46,47,51,53,54,56,59,61,64,65,66,69,70
2023-09-17,A,3,6,10,12,15,21,27,28,29,32,35,39,40,42,43,47,53,57,64,66
2023-09-17,P,6,8,10,14,16,17,24,28,36,39,41,43,46,50,54,55,60,63,64,69
2023-09-18,A,1,5,9,10,15,16,18,23,26,32,35,36,45,47,50,53,55,57,64,65
2023-09-18,P,8,11,14,15,16,18,20,21,24,28,34,37,40,42,44,46,52,54,65,68
2023-09-19,P,1,2,4,11,13,14,15,16,20,21,29,36,37,44,50,51,57,59,62,65
2023-09-19,A,6,8,9,10,11,15,21,22,25,26,33,37,39,42,44,61,63,66,68,69
2023-09-20,P,1,3,8,12,17,21,22,24,26,33,34,36,40,45,46,54,56,63,66,69
2023-09-20,A,3,8,9,16,19,20,21,27,28,31,34,36,38,41,44,47,48,54,57,65
2023-09-21,A,1,3,7,13,19,22,23,26,35,39,43,46,47,48,50,52,54,55,67,70
2023-09-21,P,2,3,9,10,11,13,16,21,22,24,36,42,48,53,57,58,59,68,69,70
2023-09-22,A,3,4,5,7,10,14,16,19,24,27,33,46,47,49,59,60,61,64,65,66
2023-09-22,P,1,2,7,15,17,27,31,32,33,34,36,37,42,44,45,52,53,60,64,69
2023-09-23,A,1,2,11,14,21,22,28,29,31,32,38,45,49,50,53,56,57,61,65,69
2023-09-23,P,4,6,12,21,23,25,27,30,34,43,50,51,55,57,59,62,64,65,68,70
2023-09-24,A,9,14,15,17,18,24,25,26,27,28,30,33,38,46,48,51,52,55,58,61
2023-09-24,P,2,4,8,11,12,13,22,23,27,31,36,40,42,43,48,49,56,61,64,68
2023-09-25,P,6,8,11,14,17,18,22,25,27,29,32,38,39,42,43,45,51,55,60,61
2023-09-25,A,5,7,8,9,19,21,22,23,25,27,29,32,39,42,50,56,57,59,60,66
2023-09-26,P,2,9,10,21,24,25,27,30,31,32,37,42,53,54,58,62,65,66,68,70
2023-09-26,A,3,4,7,10,15,16,21,27,28,31,37,38,39,45,47,50,55,61,63,70
2023-09-27,A,4,5,7,13,14,15,17,27,36,37,38,41,44,45,48,49,55,60,68,70
2023-09-27,P,2,14,16,17,24,27,32,34,38,39,40,48,49,51,52,58,59,61,62,63
2023-09-28,A,2,5,6,13,14,18,20,25,27,29,32,44,47,49,51,54,60,61,65,68
2023-09-28,P,2,5,8,10,14,18,19,22,26,27,31,44,45,47,49,51,56,58,66,68
2023-09-29,A,1,2,9,12,19,23,28,30,34,38,43,47,48,59,60,62,64,65,67,69
2023-09-29,P,1,2,10,14,15,22,28,31,33,40,42,43,46,48,50,54,55,56,67,68
2023-09-30,P,1,9,12,14,16,22,23,29,35,36,41,43,47,53,54,56,57,61,64,66
2023-09-30,A,2,3,5,6,7,8,22,23,24,26,28,34,35,42,44,46,48,51,54,65
2023-10-01,A,1,3,12,13,20,21,25,28,31,35,37,39,41,43,44,52,53,58,59,68
2023-10-01,P,2,5,7,12,13,19,23,30,31,33,34,36,46,48,50,57,58,59,68,70
2023-10-02,A,3,6,7,8,10,12,14,18,20,28,29,30,40,46,50,53,58,59,65,66
2023-10-02,P,2,5,8,10,19,25,35,36,38,39,42,45,53,54,58,60,61,62,65,67
2023-10-03,A,3,6,7,13,15,16,17,22,24,26,30,31,32,53,57,59,61,63,66,68
2023-10-03,P,7,9,14,16,17,20,22,26,30,35,39,40,44,53,54,56,58,66,67,69
2023-10-04,A,1,3,15,16,18,22,25,26,29,30,34,35,37,40,42,48,56,61,65,69
2023-10-04,P,1,3,7,12,29,31,35,39,40,41,45,47,50,54,61,62,65,67,68,70
